SKU,Name,Description,Regular price,Categories,Images,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s)
18024,,,,Ferretería general,"LLCR-20D+EI1.jpg, LLCR-20D+EIND1.jpg, LLCR-20D+EM1.jpg, LLCR-20D+FC1.jpg, LLCR-20D+FC2.jpg, LLCR-20D.jpg",Marca,Truper,Medida,
18344,,,,Ferretería general,"CREM-2X58C+D1.jpg, CREM-2X58C+E1.jpg, CREM-2X58C+EIND1.jpg, CREM-2X58C+EM1.jpg, CREM-2X58C+FC1.jpg, CREM-2X58C+FC2.jpg, CREM-2X58C.jpg",Marca,Truper,Medida,
18345,,,,Ferretería general,"CREM-5-8X35+D1.jpg, CREM-5-8X35+E1.jpg, CREM-5-8X35+EIND1.jpg, CREM-5-8X35+EM1.jpg, CREM-5-8X35+FC1.jpg, CREM-5-8X35+FC2.jpg, CREM-5-8X35.jpg",Marca,Truper,Medida,
18346,,,,Ferretería general,"CREM-7-8X45+D1.jpg, CREM-7-8X45+E1.jpg, CREM-7-8X45+EIND2.jpg, CREM-7-8X45+EM1.jpg, CREM-7-8X45+FC1.jpg, CREM-7-8X45+FC2.jpg, CREM-7-8X45.jpg",Marca,Truper,Medida,
20123,,,,Ferretería general,"CAIMAN-P+E1.jpg, CAIMAN-P+EI1.jpg, CAIMAN-P+EIND1.jpg, CAIMAN-P+EM1.jpg, CAIMAN-P+FC1.jpg, CAIMAN-P+FC2.jpg, CAIMAN-P.jpg",Marca,Truper,Medida,
21689,,,,Ferretería general,"COMP-12P+D1.jpg, COMP-12P+E1.jpg, COMP-12P+FC1.jpg, COMP-12P+FC2.jpg, COMP-12P.jpg",Marca,Truper,Medida,
21800,,,,Ferretería general,"LLCR-14P+E1.jpg, LLCR-14P+EI1.jpg, LLCR-14P+EIND1.jpg, LLCR-14P+EM1.jpg, LLCR-14P+FC1.jpg, LLCR-14P+FC2.jpg, LLCR-14P.jpg",Marca,Truper,Medida,
21801,,,,Ferretería general,"LLCR-18P+E1.jpg, LLCR-18P+E2.jpg, LLCR-18P+EI1.jpg, LLCR-18P+EIND1.jpg, LLCR-18P+EM1.jpg, LLCR-18P+FC1.jpg, LLCR-18P+FC2.jpg, LLCR-18P.jpg",Marca,Truper,Medida,
21802,,,,Ferretería general,"LLCR-20P+E1.jpg, LLCR-20P+EI1.jpg, LLCR-20P+EIND1.jpg, LLCR-20P+EM1.jpg, LLCR-20P+FC1.jpg, LLCR-20P+FC2.jpg, LLCR-20P.jpg",Marca,Truper,Medida,
22807,,,,Ferretería general,"CAP-2010P+D1.jpg, CAP-2010P+D2.jpg, CAP-2010P+E1.jpg, CAP-2010P+EI1.jpg, CAP-2010P+EIND1.jpg, CAP-2010P+EM1.jpg, CAP-2010P+FC1.jpg, CAP-2010P+FC2.jpg, CAP-2010P.jpg",Marca,Truper,Medida,
22808,,,,Ferretería general,"CAP-2510P+D1.jpg, CAP-2510P+D2.jpg, CAP-2510P+E1.jpg, CAP-2510P+EI1.jpg, CAP-2510P+EIND1.jpg, CAP-2510P+EM1.jpg, CAP-2510P+FC1.jpg, CAP-2510P+FC2.jpg, CAP-2510P.jpg",Marca,Truper,Medida,
23040,,,,Ferretería general,"TEBA-1+D1.jpg, TEBA-1+E1.jpg, TEBA-1+EI1.jpg, TEBA-1+EIND1.jpg, TEBA-1+EM1.jpg, TEBA-1+FC1.jpg, TEBA-1.jpg",Marca,Truper,Medida,
23041,,,,Ferretería general,"TEBA-2+D1.jpg, TEBA-2+E1.jpg, TEBA-2+EI1.jpg, TEBA-2+EIND1.jpg, TEBA-2+EM1.jpg, TEBA-2+FC1.jpg, TEBA-2.jpg",Marca,Truper,Medida,
23042,,,,Ferretería general,"TEBA-3+D1.jpg, TEBA-3+E1.jpg, TEBA-3+EI1.jpg, TEBA-3+EIND1.jpg, TEBA-3+EM1.jpg, TEBA-3+FC1.jpg, TEBA-3.jpg",Marca,Truper,Medida,
25090,,,,Ferretería general,"TENS-20+D1.jpg, TENS-20+EI1.jpg, TENS-20+EIND1.jpg, TENS-20+EM1.jpg, TENS-20+FC1.jpg, TENS-20+FC2.jpg, TENS-20.jpg",Marca,Truper,Medida,
25091,,,,Ferretería general,"TENS-2C+E1.jpg, TENS-2C+EI1.jpg, TENS-2C+EIND1.jpg, TENS-2C+EM1.jpg, TENS-2C+FC1.jpg, TENS-2C.jpg",Marca,Truper,Medida,
25092,,,,Ferretería general,"TENS-2M+E1.jpg, TENS-2M+EI1.jpg, TENS-2M+EIND1.jpg, TENS-2M+EM1.jpg, TENS-2M+FC1.jpg, TENS-2M.jpg",Marca,Truper,Medida,
25093,,,,Ferretería general,"TENS-2L+E1.jpg, TENS-2L+EI1.jpg, TENS-2L+EIND1.jpg, TENS-2L+EM1.jpg, TENS-2L+FC1.jpg, TENS-2L.jpg",Marca,Truper,Medida,
25094,,,,Ferretería general,"TENS-6+A1.jpg, TENS-6+EI1.jpg, TENS-6+EIND1.jpg, TENS-6+EM1.jpg, TENS-6.jpg",Marca,Truper,Medida,
28889,,,,Ferretería general,"LLCR-16P+EI1.jpg, LLCR-16P+EIND1.jpg, LLCR-16P+EM1.jpg, LLCR-16P+FC1.jpg, LLCR-16P+FC2.jpg, LLCR-16P.jpg",Marca,Truper,Medida,
29073,,,,Ferretería general,"COMPI-20P+D1.jpg, COMPI-20P+E1.jpg, COMPI-20P+EIND1.jpg, COMPI-20P+EM1.jpg, COMPI-20P+FC1.jpg, COMPI-20P+FC2.jpg, COMPI-20P.jpg",Marca,Truper,Medida,
29074,,,,Ferretería general,"INFI-20P+D1.jpg, INFI-20P+D2.jpg, INFI-20P+E1.jpg, INFI-20P+EIND1.jpg, INFI-20P+EM1.jpg, INFI-20P.jpg",Marca,Truper,Medida,
29917,,,,Ferretería general,"JVAL-3+D1.jpg, JVAL-3+D2.jpg, JVAL-3+D3.jpg, JVAL-3+D4.jpg, JVAL-3+E1.jpg, JVAL-3+EI1.jpg, JVAL-3+EIND1.jpg, JVAL-3+EM1.jpg, JVAL-3.jpg",Marca,Truper,Medida,
