SKU,Articulo,Precio_Publico,Sucursal_Bodega,Stock_Actual
44383,ARMELLAS ABIERTAS DE 23X110 FIERO*,4,Almacen Uno                                                 ,4550
TUHE0002,"TUERCA HEXAGONAL 5/16""*",0.51,Almacen Uno                                                 ,4485
TOAM0001,TOPE AMARILLO CAL 12-10*,1.79,Almacen Uno                                                 ,4446
ABUN0002,"AB UNICANAL 3/4""",9.09,Almacen Uno                                                 ,4239
CTGL0002,"CONECT GLANDULA PLASTICO 3/4""*",10.5,Almacen Uno                                                 ,4155
PIPB0022,"PIJA P. BROCA CAB HEXA 1/4"" X 1/2""*",2.58,Almacen Uno                                                 ,4121
CONT0004,"CONTRATUERCA 1 1/4""*",7.56,Almacen Uno                                                 ,4108
CMEX002,CABLE  CONDUMEX THW-LS CAL 14 ROJO*,10.92,Almacen Uno                                                 ,3900
CMEX010,CABLE  CONDUMEX THW-LS CAL 10 BLANCO*,24.72,Almacen Uno                                                 ,3900
CCON0013,CABLE THW-LS CAL 10 NEGRO,27.81,Almacen Uno                                                 ,3883
CCON0015,CABLE THW-LS CAL 10 ROJO*,27.81,Almacen Uno                                                 ,3850
MONI0001,"MONITOR 1/2""*",3.08,Almacen Uno                                                 ,3848
CCON0010,CABLE THW-LS CAL 12 BLANCO*,17.55,Almacen Uno                                                 ,3813
ZAAZ0010,"ZAPATA ANILLO AZUL CAL 14-16 3/16""*",0.74,Almacen Uno                                                 ,3754
CCON0012IN,CABLE THW-LS CAL 12 VERDE*,14.36,Almacen Uno                                                 ,3718
POLI0001,"POLIDUCTO NARANJA 1/2""",4.02,Almacen Uno                                                 ,3705
ZAHO0001,ZAPATA HORQUILLA AMARILLO CAL 12-10 3/16*,2.07,Almacen Uno                                                 ,3698
ABUN0007,"AB UNICANAL 2 1/2""*",36.38,Almacen Uno                                                 ,3614
ZAHE0001,"HEMBRA AISLADA AMARILLA 12-10   3/16""*",0.98,Almacen Uno                                                 ,3575
BACI0001,"BASE PARA CINCHO 3/4"" X 3/4""",2.36,Almacen Uno                                                 ,3510
TOHE0001,"TORNILLO CAB HEXA 1/4"" X 3/4""*",1.1,Almacen Uno                                                 ,3432
CCON0016,CABLE THW-LS CAL 10 VERDE*,27.81,Almacen Uno                                                 ,3426
TOHE0005,"TORNILLO CAB HEXA 1/4"" X 2""",2.21,Almacen Uno                                                 ,3406
TAQU0032,"TAQUETE ARPON AA 1/2"" X 2 3/4""",15.22,Almacen Uno                                                 ,3341
ZAAM0001,"ZAPATA ANILLO AMARILLO CAL 12-10 3/16""",1.41,Almacen Uno                                                 ,3246
PIPB0053,"PIJA P. BROCA SELLO CAB HEXA 1/4"" X 1""*",1.55,Almacen Uno                                                 ,3237
