SKU,Articulo,Precio_Publico,Sucursal_Bodega,Stock_Actual
16956,"DISPENSADOR CON 10 CUCHILLAS PARA NV-7 Y NM-7, TRUPER",36.21,Almacen de Mercancia en Consignacion                        ,260
16956,"DISPENSADOR CON 10 CUCHILLAS PARA NV-7 Y NM-7, TRUPER",36.21,Almacen Uno                                                 ,260
46113,CONTACTO IND BLINDADO ATERRIZADO 2P+T,20.69,Almacen Uno                                                 ,260
47721,"CONTACTO DUPLEX, 2P 3H, 20A BLANCO*",30.17,Almacen de Mercancia en Consignacion                        ,260
ILV0010,CONTACTO DOBLE BRUSHED METAL NEGRO*,87,Almacen Uno                                                 ,260
ILV0004,APAGADOR SENCILLO BRUSHED METAL NEGRO,78.75,Almacen Uno                                                 ,260
S00773,FOCO LED RETRO S14 1W E26 130V,27.15,Almacen Uno                                                 ,260
CDSR0006,"CODO SIN ROSCA  2""*",222.08,Almacen Uno                                                 ,260
CAIT0008,CAJA CUADRADA 5X5*,34.73,Almacen Uno                                                 ,251
46432,PLACA TIPO FS CIEGA DE SOBREPONER*,10,Almacen Uno                                                 ,249
LEVI0020,"CONTACTO  BLANCO 15AMP 125V 5320W""",54.855,Almacen Uno                                                 ,249
46934,"CONECTOR CURVO DE 3/4' PARA TUBO LIQUID TIGHT, VOLTECK",30.17,Almacen Uno                                                 ,248
VARO0001,"VARILLA ROSCADA  1/4"" X 3MTS*",54.5,Almacen Uno                                                 ,247
BTIC00002,TAPA 1 VENTANA MARFIL ESN1,54.6516,Almacen Uno                                                 ,247
LEVI0085,"CONTACTO DUPLEX 2P, 3H, 20A, 125V NARANJA GRAD HOSP IG362OIG",233.595,Almacen Uno                                                 ,247
CTLI0019,"CONECT CURVO LICUTITE 1 1/4""*",152.22,Almacen Uno                                                 ,247
CTWP0005,"CONECTOR WP 1 1/2*""",100.86,Almacen Uno                                                 ,247
REDU0006,"RED AL 1 1/4""-1/2""",33.28,Almacen Uno                                                 ,247
SURT0003,BACE SLIM LINE PORTA LAMPARA,25.88,Almacen Uno                                                 ,247
UNNO0100,N1373.9-NG CHASIS COLOR NEGRO,44,Almacen Uno                                                 ,247
UNNO0102,N1373.9-AR CHASIS COLOR ARÁNDANO,44,Almacen Uno                                                 ,247
UNNO0103,N1373.9-LL CHASIS COLOR LILA,44,Almacen Uno                                                 ,247
18T8LED12O,LAMPARA LED TUBO T8 18W 6500K 100-227V CRISTAL OPALINO INAC,72,Almacen Uno                                                 ,247
CTPV0006,"CONECTOR PVC T PESADO 2""*",45.84,Almacen Uno                                                 ,242
TPVC0006,"TUBO PVC T. PESADO 2""*",33.24,Almacen de Mercancia en Consignacion                        ,240
44310,"BOLSA CON 25 CINCHOS PLÁSTICOS 50 LB, 400 X 4.5 MM, NATURAL",39.66,Almacen Uno                                                 ,240
44330,"BOLSA CON 25 CINCHOS PLÁSTICOS 50 LB, 400 X 4.5 MM, NEGRO",39.66,Almacen Uno                                                 ,240
QO230,INTERRUPTOR QO 2X30A*,748.52,Almacen Uno                                                 ,238
COCR0005,"COPLE CON ROSCA 1 1/2""*",51.6,Almacen Uno                                                 ,234
TGSR0006,"TUB GALV SIN ROSCA 2""*",456.12,Almacen Uno                                                 ,234
TPVC0004,"TUBO PVC T. PESADO 1 1/4""*",16.88,Almacen Uno                                                 ,234
CTPV0009,"CONECTOR PVC T. PESADO 4""*",205.43,Almacen Uno                                                 ,234
MORD0009,"MORDAZA ACERO 3/4""X 3/8""*",45.92,Almacen Uno                                                 ,234
SIME0009,QUINTA TERMINAL P/BASE DE MEDICION,25,Almacen Uno                                                 ,234
MG51KIT1,CLEMA PEQUEÑA TORNILLO+TUERCA*,13.16,Almacen Uno                                                 ,234
FKSOL12B,PANEL LED 12W EMPOTRADO*,141.6,Almacen Uno                                                 ,234
CTWP0004,"CONECTOR WP 1 1/4""*",98.46,Almacen Uno                                                 ,234
ABUN0005,"AB UNICANAL 1 1/2""*",12.2,Almacen Uno                                                 ,234
ARBR0006,"ARANDELA PREION BR AL SILICIO 3/8""",5.9,Almacen Uno                                                 ,234
ARAC0005,"ARANDELA ACERO INOXIDABLE PLANA 1/2""*",3.68,Almacen Uno                                                 ,234
43030,"GUARDAPOLVO FIJO DE 100 CM, ALUMINIO*",47.41,Almacen Uno                                                 ,234
43777,"TOPE TIPO DOMO PARA PUERTA, CROMO*",50,Almacen Uno                                                 ,234
10890,GAVETA APILABLE DE PLASTICO 25X17X11*,47.41,Almacen Uno                                                 ,234
LAPIZ,LAPIZ BICOLOR,9.885,Almacen Uno                                                 ,234
BOTE0001,BOTE INTEGRAL 10CM,44.54,Almacen Uno                                                 ,231
TPVC0008,"TUBO PVC T. PESADO 3""*",59.12,Almacen Uno                                                 ,230
CDPV0006,"CODO PVC T. PESADO 2""*",40.38,Almacen Uno                                                 ,229
COCR0006,"COPLE CON ROSCA 2""*",58.95,Almacen Uno                                                 ,226
LEVI0003,TAPA SENCILLA DE PALANCA 88001W*,84.83,Almacen Uno                                                 ,223
40159,20 TAQUETE 1/4 CON PIJA 8X1+ BROCA FIERO,42.24,Almacen Uno                                                 ,221
CDPV0007,"CODO PVC T. PESADO 2 1/2""*",58.61,Almacen Uno                                                 ,221
ILV0001,APAGADOR SENCILLO POLICARBONATO METAL BLANCO*,62.25,Almacen Uno                                                 ,221
11203,"BROCA PARA CONCRETO 1/4 X 4""*",15.5,Almacen Uno                                                 ,221
46431,PLACA PARA INTERPERIE FS SENCILLA SOBREPONER,50.86,Almacen Uno                                                 ,221
EATO0020,"CONTACTO FIJO 2P, 3H, 30A 250V, L630R""",115.5,Almacen Uno                                                 ,221
CAFS0005IN,"CAJA FSC 3/4""*",97.5,Almacen Uno                                                 ,221
PHIL0030,SERIE NAVIDEÑA LED COLORES BOLA  BLANCA 5.5MTS*,96.55,Almacen Uno                                                 ,221
TGSRA0001,TUB GALV SIN ROSCA ETIQUETA AZUL 1/2,86.175,Almacen Uno                                                 ,220
1019637,TAPA ANILLO REDUCCION 4X2,38.775,Almacen Uno                                                 ,218
46971,CONDULET LB 3/4*,73.28,Almacen Uno                                                 ,218
ML95A,FOCO FIESTA*,47.41,Almacen Uno                                                 ,214
46025,"BASE PARA WATTHORIMETRO, 4 TERMINALES*",180.17,Almacen Uno                                                 ,208
12503,AISLANTE AMARILLO ELECTRICO 19MM*18M*,18.97,Almacen Uno                                                 ,208
ABUN0006,"AB UNICANAL 2""*",16.58,Almacen Uno                                                 ,208
ABUÑ0008,"AB UÑA 3""*",50.63,Almacen Uno                                                 ,208
COHE0003,"COPLE HEXAGONAL 3/8""",5.81,Almacen Uno                                                 ,208
ILV0002,APAGADOR DOBLE POLICARBONATO METAL BLANCO*,83.25,Almacen Uno                                                 ,208
QO140,INTERRUPTOR QO 1X40A,215.5,Almacen Uno                                                 ,208
47958,"PLACA BLANCA 1 APAGADOR 1.5 MODULOS, LISBOA",32.76,Almacen Uno                                                 ,205
TECN0075,DOWNLIGHT 12W 3500K 85-265V MLDL12WWTBC SATIN*,119.5,Almacen Uno                                                 ,205
TUZA0001,"TUBO ZAPA 1/2""",34.5591,Almacen Uno                                                 ,202
QOP0050,GABINETE APH 2X18 PARA TUBO LED Q10-50,277.5,Almacen Uno                                                 ,202
TOBI0001,TOPE CAÑON BIMETALICO CAL 1/0*,18.15,Almacen Uno                                                 ,197
QO220,INTERRUPTOR QO 2X20A*,748.52,Almacen Uno                                                 ,197
VARO0003,"VARILLA ROSCADA  3/8"" X 3MTS*",125.798,Almacen Uno                                                 ,195
47846,PLACA ARMANDA ACERO INTERRUPTOR Y CONTACTO 1.5,85.34,Almacen Uno                                                 ,195
CCON0025,CABLE THW CAL 4/0 NEGRO,403.0758,Almacen Uno                                                 ,195
46976,CONDULET 1/2 CONEXION TIPO LL,50,Almacen Uno                                                 ,195
46983,CONDULET 3/4 CONEXION TIPO C,81.9,Almacen Uno                                                 ,195
46973,CONDULET 1/2 CONEXION TIPO LR,47.85,Almacen Uno                                                 ,195
TOCL0011,TOPE CAÑON LARGO CAL 250*,167.43,Almacen Uno                                                 ,195
ARBR0005,"ARANDELA PLANA BRONCE  AL SILICIO 3/8""*",16.29,Almacen Uno                                                 ,195
ZACC0002,"ZAPATA PONCH C/C 1B CAL. 8-1/4""",15.75,Almacen Uno                                                 ,195
ZACC0024,"ZAPATA PONCH C/C 1B CAL. 4/0-1/2""",72.45,Almacen Uno                                                 ,195
20670INACT,"CINTA MASKING TAPE 1""X 50*",31.03,Almacen Uno                                                 ,195
CAFS0012,"CAJA FS 1"" (TOPE)*",75,Almacen Uno                                                 ,195
S00694,"SOQUET MOGUL""",30.72,Almacen Uno                                                 ,195
48372,"BOTE INTEGRAL DE 8CM, ARO INTERNO DE 8CM, VOLTEK*",23.28,Almacen Uno                                                 ,195
EATO0083,"CONTACTO FIJO 2P, 3H, 20A, 250V, L620R""",271.22,Almacen Uno                                                 ,195
11674,"DISCO LAMINADO 4-1/2"" GRANO 60 CENTRO 7/8"" FIBRA",73.5,Almacen Uno                                                 ,195
46980,CONDULET 3/4 CONEXION TIPO T,83.62,Almacen Uno                                                 ,186
CTPV0007,"CONECTOR PVC T. PESADO 2 1/2""*",77.94,Almacen Uno                                                 ,186
46200,CLAVIJA INDUSTRIAL SENCILLA,15.09,Almacen Uno                                                 ,183
46974,CONDULET 3/4 CONEXION TIPO LR,81.9,Almacen Uno                                                 ,182
BTIC00005,TAPA PARA CONTACTO DIUPLEX Q100RN,54.68,Almacen Uno                                                 ,182
CTPV0023,"CONECTOR HEMBRA PVC 6"" C-40*",631.16,Almacen Uno                                                 ,182
CDPV0004,"CODO PVC T. PESADO 1 1/4""*",16.37,Almacen Uno                                                 ,182
TGCR0003,"TUB GALV C/ROSCA Y COPLE 1""*",318.9,Almacen Uno                                                 ,182
49330,"BOLSA CON 2 PIJAS 1/4"" X 66MM PARA BASE DE WC A PISO",16.38,Almacen Uno                                                 ,182
47956,PLACA BLANCA 3 APAGADORES LISBOA*,56.9,Almacen Uno                                                 ,182
46409,"PLACA PARA CONTACTO DUPLEX TIERRA AISLADA, LINEA ESTANDAR*",9.48,Almacen Uno                                                 ,182
11688,DISCO 4 1/2 LAMINADRO GRANO 80 7/8 TRUPER*,66.38,Almacen Uno                                                 ,182
ZAME0002,ZAPATA MEC BR CAL 4-1/0*,58.79,Almacen Uno                                                 ,182
ZACL0025,"ZAPATA PONCH C/L 1B CAL. 3/0-1/2""*",85.5,Almacen Uno                                                 ,182
UNNO0002,"N1371BL PLACA BCA 1 MODULOS""",44,Almacen Uno                                                 ,182
UNNO0010,"2328-BA CONTACTO DUPLEX 2P+T 3 MOD""",104.27,Almacen Uno                                                 ,182
REDU0004,"RED AL 1 1/4""-1""",33.28,Almacen Uno                                                 ,182
CTSR0004,"CONECTOR CON TORNILLO 1 1/4""*",79.92,Almacen Uno                                                 ,182
3M0011,CINTA AISLANTE SUPER 33 3M,103.8,Almacen Uno                                                 ,175
BACE0002,"RECEPTACULO PARA FOTOCELDA""",49.16,Almacen Uno                                                 ,174
47960,"PLACA BLANCA 2 APAGADORES 1.5 MODULOS, LISBOA",45.69,Almacen Uno                                                 ,169
47967,PLACA BLANCA 2 INTERRUPTORES Y CONTACTO*,59.48,Almacen Uno                                                 ,169
102551,REJILLA ESCURRIDORA DE PINTURA TRUPER*,75,Almacen Uno                                                 ,169
26021,"MANGUERA LAVABO/FREGADERO, ALUMINIO, 1/2"" * 1/2"", 55CM*",26.72,Almacen Uno                                                 ,169
UNNO0101,N1373.9-MD CHASIS COLOR MANDARINA,44,Almacen Uno                                                 ,169
ZACL0062,"ZAPATA PONCH C/L 2B CAL. 1/0-1/2""*",96.33,Almacen Uno                                                 ,169
ZASA0014,"TERM OJO SIN AISLAR C/CORTO CAL. 4  1/2""*",19.26,Almacen Uno                                                 ,169
ZABI0022,"ZAPATA BIMETALICA 2B CAL. 1/0-1/2""*",89.2104,Almacen Uno                                                 ,169
TOBI0003,TOPE CAÑON BIMETALICO CAL 3/0*,23.85,Almacen Uno                                                 ,169
REDU0008,"RED AL 1 1/2""-1 """,43.86,Almacen Uno                                                 ,169
CTZA0009,"CONECTOR ZAPA RECTO 3""*",248.33,Almacen Uno                                                 ,169
46315,BATERIA ALCALINA AA,53.45,Almacen Uno                                                 ,169
PULI0001,PERFIL UNICANAL LISO 4X2 CAL 16*,213,Almacen Uno                                                 ,169
45953,"2 APAGADORES SENCILLOS, LINEA STANDARD",50.86,Almacen Uno                                                 ,169
S00032,TUBO CURVALUM  FLUORESCENTE T8 32W 50K FB32T8,171.398,Almacen Uno                                                 ,168
CAIT0028,CAJA CHALUPA 2X4 3/4 5H 53320,192.975,Almacen Uno                                                 ,159
43464,CERRADURA TIPO ESFERA PARA RECAMARA CROMO MATE HERMEX,219.83,Almacen Uno                                                 ,158
14263,"GUANTES DE LÁTEX PARA LIMPIEZA, G, TRUPER",32.325,Almacen Uno                                                 ,156
10742,"MANERAL DE 4' PARA RODILLO, TRUPER",23.28,Almacen de Mercancia en Consignacion                        ,156
46972,"CONDULET 1"" CONEXION TIPO LB",97.41,Almacen Uno                                                 ,156
47893,PLACA ARMADA NEGRA 2 INTERRUPTORES 1.5 MODULOS,49.14,Almacen Uno                                                 ,156
46318,BATRERIA ALCALINA -D,53.45,Almacen Uno                                                 ,156
TOBR0003,TORNILLO BRONCE AL SILICIO 3/8  X 1 1/2,81.3,Almacen Uno                                                 ,156
CTPV0005,"CONECTOR PVC T. PESADO 1 1/2""*",31.89,Almacen Uno                                                 ,156
MORD0003,"MORDAZA ACERO 1 1/4""X 3/8""*",51.6,Almacen Uno                                                 ,156
TULI0007,"TUBO LICUTITE 2""",196.3,Almacen Uno                                                 ,156
CTSR0007,"CONECTOR CON TORNILLO 2 1/2""*",156.74,Almacen Uno                                                 ,156
TOAC0010,"TORNILLO ACERO INOXIIDABLE 1/2"" X 2 1/2""*",26.72,Almacen Uno                                                 ,156
ESTE0005,EP150C ITM 1X50 CURVA C ESTEVEZ*,111.3,Almacen Uno                                                 ,156
40089,"SAPO PARA WC 2"" , PVC TRANSPARENTE CON CADENA INOXIDABLE*",33.62,Almacen Uno                                                 ,156
28021,LINTERNA RECARGABLE LED 10 LUMENES DIFERENTES COLORES,53.45,Almacen Uno                                                 ,156
28158,"PINZAS DE PUNTA Y CORTE 6""*",59.48,Almacen Uno                                                 ,156
13892,"FELPA PARA RODILLO 7"" X 5/8 SUPERFICIES POCO RUGOSAS*",23.28,Almacen Uno                                                 ,156
13893,"FELPA PARA RODILLO 12"" X X5/8 SUPERFICIES POCO RUGOSAS",39.66,Almacen Uno                                                 ,156
14484,"BROCHA PROFECIONAL 2 1/2"" MANGO PLASTICO TRUPER*",23.28,Almacen Uno                                                 ,156
20050,"CONECTOR ""Y"" 3/4"" PLASTICO PARA MANGUERA*",31.03,Almacen Uno                                                 ,156
20182,"CALIBRADOR DE PRESION 50 PSI, CABEZA DOBLE*",50.86,Almacen Uno                                                 ,156
17567,SELLADOR DE SILICON NEGRO PARA ALTAS TEMPERATURAS 85G,42.24,Almacen Uno                                                 ,156
LEVI0097,"CONTACTO FIJO 2F, 3H, 15A, 125V, L515R""",428.07,Almacen Uno                                                 ,156
49346,"SAPO DE 2"" DE PVC PAEA WC, AZUL, CON CADENA PLASTICA FOSET*",24.14,Almacen Uno                                                 ,156
COOP0005IN,"CONTACTO DUPLEX 2P, 3H, 20A, 127V MARFIL COOPER""",79.905,Almacen Uno                                                 ,156
PHIL0032,SERIE NAVIDEÑA LED BLANCA 7.5MTS*,96.55,Almacen Uno                                                 ,156
RAWE0001,TAPA ALUMINIO P/CONTACTO DUPLEX TR0285 4T*,51.75,Almacen Uno                                                 ,156
RAWE0004,TAPA CIEGA ALUMINIO RAWEL 2T*,54.92,Almacen Uno                                                 ,156
43566,"CERRADURA PARA MUEBLE, MODELO 21, LATÓN, HERMEX",36.21,Almacen Uno                                                 ,156
S00530,FOCO LED A19 65K 9W 100-265 PK4PZ,37.95,Almacen Uno                                                 ,151
3M0002,CINTA TEMFLEX 1600 3M BLANCA*,30.17,Almacen Uno                                                 ,146
RACO0102,"TAPA MET OCT CIEGA 4"" RACO",16.53,Almacen Uno                                                 ,145
CTPV0006,"CONECTOR PVC T PESADO 2""*",45.84,Almacen de Mercancia en Consignacion                        ,144
CDPV0006,"CODO PVC T. PESADO 2""*",40.38,Almacen de Mercancia en Consignacion                        ,144
COCR0006,"COPLE CON ROSCA 2""*",58.95,Almacen de Mercancia en Consignacion                        ,144
TAFS0003,TAPA CIEGA DS10 4 BARRENOS*,26.25,Almacen Uno                                                 ,144
14481,"BROCHA PROFECIONAL 1"" MANGO PLASTICO TRUPER*",11.64,Almacen Uno                                                 ,144
40223,"BLÍSTER CON 20 CLAVOS NEGROS PARA CONCRETO 1-1/2', FIERO",9.05,Almacen Uno                                                 ,144
40221,"BLÍSTER CON 20 CLAVOS NEGROS PARA CONCRETO 2', FIERO",9.05,Almacen Uno                                                 ,144
40230,"BLÍSTER CON 35 CLAVOS ESTÁNDAR 2' CON CABEZA, FIERO",6.9,Almacen Uno                                                 ,144
40231,"BLÍSTER CON 130 CLAVOS ESTÁNDAR 1' CON CABEZA, FIERO",6.9,Almacen Uno                                                 ,144
PROF0006,CERRADURA PARA MUEBLE MOD 21 LATON,76.29,Almacen de Mercancia en Consignacion                        ,143
14487,"BROCHA PROFECIONAL 5"" MANGO PLASTICO TRUPER*",66.38,Almacen Uno                                                 ,143
14670,CHALECO BRIGADISTA AZUL REY CINTAS ALTA VISIVILIDAD,280.17,Almacen Uno                                                 ,143
20401,LENTES DE SEGURIDAD TRANSPARENTES,26.72,Almacen Uno                                                 ,143
13905,"MINI RODILLO PARA PINTAR 4"" X3/8 DE POLIESTER*",33.62,Almacen Uno                                                 ,143
13292,GUANTES DE NYLON RECUBIERTOS DE POLIURETANO G*,47.41,Almacen Uno                                                 ,143
13468,"LUBRICANTE MULTIUSOS EN AEROSOL, 110 ML (4OZ)",36.21,Almacen Uno                                                 ,143
14223,TAPON AUDITIVO DE ESPUMA 32DB*,9.05,Almacen Uno                                                 ,143
24200,JUEGO DE 4 CUÑAS CON MANGO PLASTICO*,33.62,Almacen Uno                                                 ,143
26020,"MANGUERA LAVABO/FREGADERO, ALUMINIO, 1/2"" * 1/2"", 40CM*",25,Almacen Uno                                                 ,143
45953INAC,"2 APAGADORES SENCILLOS, LINEA STANDARD*",50.86,Almacen Uno                                                 ,143
57018,JALADOR DE LAMINA REFORZADA 40 CM,75,Almacen Uno                                                 ,143
57051,"ESCOBA CHICA TIPO ABANICO, CERDAS DE PVC*",51.72,Almacen Uno                                                 ,143
57054,"ESCOBA MEDIANA TIPO CEPILLO, CERDAS PVC*",59.48,Almacen Uno                                                 ,143
57056,"TRAPAEADOR TIPO MECHUDO, 350G*",73.28,Almacen Uno                                                 ,143
57061,"TRAPEADOR TIPO MECHUDO, 450G",81.9,Almacen Uno                                                 ,143
57065,TOALLA DE MICROFIBRA 40X 40*,28.45,Almacen Uno                                                 ,143
57024,RECOGEDOR PLASTICO CON BASTON DE MADERA*,48.28,Almacen Uno                                                 ,143
QO315,INTERRUPTOR QO 3X15A*,2177.24,Almacen Uno                                                 ,143
COPV0007,"COPLE PVC T. PESADO 2 1/2""*",83.3,Almacen Uno                                                 ,143
COPV0008,"COPLE PVC T. PESADO 3""*",89.27,Almacen Uno                                                 ,143
46124,VARILLA DE 1.5 ACERO REVESTIDO DE COBRE 1/2,174.57,Almacen Uno                                                 ,143
46979,CONDULET 1/2 CONEXION TIPO T,54.31,Almacen Uno                                                 ,143
LEVI0004,CONTACTO DOBLE 2P 3W 15A 125V BLANCO 5325W*,56.85,Almacen Uno                                                 ,140
3M0010,CINTA VULCANIZABLE 23 3M.,589.85,Almacen Uno                                                 ,136
COWP0003,"COPLE WP 1""*",33.42,Almacen Uno                                                 ,132
16965,ESTUCHE CON 10 CUCHILLAS SK4 DE 18 MM PARA CUTTER,33.62,Almacen Uno                                                 ,132
14488,"BROCHA PROFECIONAL 6"" MANGO PLASTICO TRUPER*",79.31,Almacen Uno                                                 ,130
14485,"BROCHA PROFECIONAL 3"" MANGO PLASTICO TRUPER*",31.03,Almacen Uno                                                 ,130
11221,"BROCA PARA CONCRETO 3/8 5""*",32,Almacen Uno                                                 ,130
12506,AISLANTE BLANCO ELECTRICO 18MX19MM,18.97,Almacen Uno                                                 ,130
45554,"CODO 45 PPR, MACHO-HEMBRA*",6.9,Almacen Uno                                                 ,130
45555,"CRUZ PPR, 1/2*",9.48,Almacen Uno                                                 ,130
44458,KILO DE ALAMBRE RECOCIDO CALIBRE 15 EN ROLLO DE 1KG FIERO,37.93,Almacen Uno                                                 ,130
46154,"TUERCA IZQ. DE LATON DE 5/16"" CON MANERAL PLASTICA*",33.62,Almacen Uno                                                 ,130
46971INAC,CONDULET LB 3/4*,73.28,Almacen Uno                                                 ,130
46545,PLACA DE ACERO INOXIDABLE DUPLX,25.86,Almacen de Mercancia en Consignacion                        ,130
40160,20 TAQUETE 5/16 CON PIJA 10X1 + BROCA FIERO*,66.38,Almacen Uno                                                 ,130
43787,"TOPE RECTO PARA PUERTA, CROMO*",50,Almacen Uno                                                 ,130
41052,"NIPLE TERMINAL DE LATON DE 5/16"" * 3/8",20.69,Almacen Uno                                                 ,130
57008,CEPILLO TIPO PLANCHA DE PLASTICO*,15.09,Almacen Uno                                                 ,130
49898,"TUBO 3/4"" PPR HIDRAULICO 4M",85.34,Almacen Uno                                                 ,130
49880,ADAPTADOR PPR3/4 MQCHO CON INSERTO FOSET*,53.45,Almacen Uno                                                 ,130
103018,"BROCA MULTIMATERIAL 5/32 X 6""*",42.24,Almacen Uno                                                 ,130
49331,2 TORNILLOS 5/16x70 PARA TANQUE DE WC A BASE*,18.97,Almacen Uno                                                 ,130
47042,INTERRUPTOR DE SOBREPONER SENCILLO A GRANEL*,11,Almacen Uno                                                 ,130
47849,PLACA ACERO CONTACTO DUPLEX LISBOA*,86.21,Almacen Uno                                                 ,130
PHIL0033,SERIE NAVIDEÑA LED BLANCA CALIDA 7.5MTS*,96.55,Almacen Uno                                                 ,130
GU10SK,"SOQUET GU10 CERAMICA""",20.37,Almacen Uno                                                 ,130
MR16SKR,"SOCKET MR16 REDONDO""",12.54,Almacen Uno                                                 ,130
CTSR0005,"CONECTOR CON TORNILLO 1 1/2""*",43.09,Almacen Uno                                                 ,130
CTLI0017,"CONECT CURVO LICUTITE 3/4""*",43.08,Almacen Uno                                                 ,130
TAQU0031,"TAQUETE ARPON AA 3/8"" X 5""",11.03,Almacen Uno                                                 ,130
CTZA0008,"CONECTOR ZAPA RECTO 2 1/2""*",165.12,Almacen Uno                                                 ,130
COC0002,"CONDULET C 3/4""""",77.63,Almacen Uno                                                 ,130
ESTE0004,EP140C ITM 1X40 CURVA C ESTEVEZ,111.3,Almacen Uno                                                 ,130
ESTE0015,EP250C ITM 2X50 CURVA C ESTEVEZ*,248.85,Almacen Uno                                                 ,130
STER0001,TAPA 4RJ45 BLANCA,27,Almacen Uno                                                 ,130
TAFS0005,TAPA CIEGA DE10 PLASTICA FSE,14.77,Almacen Uno                                                 ,130
SURT0005,CLAVIJA 15 AMP CON TIERRA,21,Almacen Uno                                                 ,130
ZASA0028,"TERM OJO SIN AISLAR C/CORTO CAL. 3/0  3/8""",46.43,Almacen Uno                                                 ,130
ZACL0019,"ZAPATA PONCH C/L 1B CAL. 1/0-1/2""*",64.5,Almacen Uno                                                 ,130
ZASA0007,"TERM OJO SIN AISLAR C/CORTO CAL. 6  1/4""*",8.49,Almacen Uno                                                 ,130
ZACL0017,"ZAPATA PONCH C/L 1B CAL. 1/0-3/8""*",64.5,Almacen Uno                                                 ,130
46114,CONTACTO IND BLINDADO ATERRIZADO CHINO 2P+T,24.11,Almacen Uno                                                 ,130
102189,"BROCA PARA METAL HSS 13/64""",27.59,Almacen Uno                                                 ,130
102190,"BROCA PARA METAL HSS 7/32""",31.03,Almacen Uno                                                 ,130
102192,"BROCA PARA METAL HSS 1/4""",39.66,Almacen Uno                                                 ,130
46978,"CONDULET 1' CONEXIÓN TIPO LL, VOLTECK",93.97,Almacen Uno                                                 ,130
S00478,TUBO LED CURVALUM T8 18W 65K 100-265V FB18T8,213.3,Almacen Uno                                                 ,130
POAD0003,"TUBO DE ALTA DENSIDAD 2"" 6.10 MTS",196.74,Almacen Uno                                                 ,130
22346,"DISCO TIPO 41 DE 7' X 2 MM CORTE FINO DE METAL, PRETUL",28.45,Almacen Uno                                                 ,130
46320,"CAJA TIPO CHALUPA 2x4"" REFORZADA*",12.07,Almacen de Mercancia en Consignacion                        ,130
46981,"CONDULET 1"" CONEXION TIPO T",100.86,Almacen Uno                                                 ,130
LEVI0004IN,CONTACTO DOBLE 2P 3W 15A 125V BLANCO 5325W*,56.85,Almacen Uno                                                 ,130
STER0002, TOMA TELEFONICA 4H RJ11 BL*,79.71,Almacen Uno                                                 ,130
TAFS0001,"TAPA CIEGA REDONDA BLANCA DE 5""*",25.35,Almacen Uno                                                 ,130
CCUR0030,CABLE USO RUDO 4X14,49.41,Almacen Uno                                                 ,130
TULI0008,"TUBO LICUTITE 2 1/2""",432.75,Almacen Uno                                                 ,130
COCR0010,"COPLE CON ROSCA 4""*",540.47,Almacen Uno                                                 ,130
REPV0001,"REGISTRO PVC 6"" CON TAPA VERDE",109.88,Almacen Uno                                                 ,130
3M0001,CINTA TEMFLEX 1600 3M NEGRA,27.09,Almacen de Mercancia en Consignacion                        ,130
15DAR1165,LAMPARA LED AR111 15W 6500K G53 1350LM,458.5,Almacen Uno                                                 ,130
TAQU0084,TAQUETE MARIPOSA 1/4,8.01,Almacen Uno                                                 ,130
10356494,CONTACTO AUX FRONTAL BCXMFC1*,0,Almacen Uno                                                 ,130
4900515,MOLDURA PARA PUERTA MPDWA160*,0,Almacen Uno                                                 ,130
46418,PLACA 1 VENTANA TIPO DECORA LINEA CLASICA,12.78,Almacen Uno                                                 ,130
LEVI0013,TAPA SENCILLA PARA CONTACTO NARANA 80401-IGN*,36.85,Almacen Uno                                                 ,130
15196,"DISCO DE DIAMANTE DE 4-1/2' X 1.3 MM, CORTE DE PORCELANATO",168.1,Almacen Uno                                                 ,130
44084,NUDO-1/4,20.69,Almacen Uno                                                 ,130
18PTLLEDR6,PANEL LED SOBREPONER 18W 6500K,232.7586,Almacen Uno                                                 ,120
46933,"CONECTOR CURVO DE 1/2' PARA TUBO LIQUID TIGHT, VOLTECK",33.62,Almacen Uno                                                 ,120
47330,"BOLSA CON 20 CAPUCHONES PARA CABLE, CALIBRES SURTIDOS",31.9,Almacen Uno                                                 ,120
15086,"BROCA HSS 3/16' TRUBLACK PARA METAL, TRUPER",21.55,Almacen Uno                                                 ,120
15097,"BROCA HSS 1/4' TRUBLACK PARA METAL, TRUPER",35.34,Almacen Uno                                                 ,120
TECN0075,DOWNLIGHT 12W 3500K 85-265V MLDL12WWTBC SATIN*,119.5,Almacen de Mercancia en Consignacion                        ,120
LEVI0028,"APAGADOR DECORA SENCILLO 15A, 5601-2W",63.49,Almacen Uno                                                 ,120
47733,"CONTACTO DUPLEX, 2P 3H, BLANCO*",16.38,Almacen de Mercancia en Consignacion                        ,120
COOP0020,"CONTACTO PATA DE GALLO 50A, 250V, L1050R""",112.5,Almacen Uno                                                 ,119
46434,"PLACA TIPO FS CON CUBIERTA, SENCILLA, SOBREPONER",116.38,Almacen Uno                                                 ,119
46203,CLAVIJA IND BLINDADO ATERRIZADO CHINO 2P+T,20.69,Almacen Uno                                                 ,119
MR16LED55,MR16 LED 5.5 LUZ CALIDA,55.60335,Almacen Uno                                                 ,119
TULI0002,"TUBO LICUTITE 1/2""",49.82,Almacen Uno                                                 ,119
